"Electricity consumption, per capita (kWh)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Albania,-,-,-,-,-,-,-,-,-,-,-,499.4743741,533.7700978,562.4591376,560.5960329,701.4691218,862.1314115,1013.714261,1042.172814,1009.854814,1083.142825,1065.797593,1040.798483,1016.989407,996.3816619,744.2074721,1370.528514,1112.604434,952.7215229,977.708968,517.5077351,387.1103904,423.0434709,492.3825715,544.1385806,595.6050494,808.9936051,613.872635,649.8838731,987.309111,1044.854813,1007.543435,1248.047047,1122.232498,1035.785515,1010.815315,766.2641768,1002.534804,1120.436088
Algeria,-,-,-,-,-,-,-,-,-,-,-,113.9344076,120.9502786,133.5308642,141.9773567,162.108428,181.1007719,195.3384998,228.4168276,250.2928239,263.4199442,286.2879164,319.6182143,331.8621505,361.3491332,380.6950449,402.63334,375.1273475,394.2283747,437.1691208,491.0589398,491.7301207,521.418865,507.5950223,508.685476,516.6054727,525.8845221,522.8304767,549.804295,584.4318865,611.5019603,637.4901721,662.9794764,715.8758586,734.912737,819.5290345,803.5435456,839.8841078,888.610552
Angola,-,-,-,-,-,-,-,-,-,-,-,90.05970858,99.42656464,114.3614676,143.8511253,155.3581031,69.01014351,66.5415262,65.23899584,68.21635636,70.02705792,68.63997643,71.84480211,75.58473126,62.91744056,74.2730387,72.70578231,71.89298255,71.09642382,70.33152832,71.05490917,73.74044947,72.92989185,71.31835538,70.02326273,68.47292627,71.44082953,97.94143893,104.8697972,104.274454,110.8138555,123.6170504,130.0607909,143.1485128,155.9114596,178.4327043,195.6306647,214.2010338,251.7854997
Argentina,-,-,-,-,-,-,-,-,-,-,-,812.9089614,869.655088,903.6991104,931.7614785,948.4152124,961.2649605,1007.636622,1016.390045,1132.812028,1159.293337,1106.812745,1137.029373,1196.218349,1231.486535,1196.757493,1201.431169,1346.534683,1355.299135,1227.608875,1222.306861,1262.514063,1326.634414,1408.222485,1501.025634,1569.02648,1642.648182,1749.788429,1864.963747,1912.285911,2012.937532,2009.905833,1926.640514,2078.699416,2178.129581,2283.68607,2416.7318,2445.509302,2634.495398
Armenia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2671.958423,2512.467509,1846.80626,1183.229248,1035.34394,993.7426725,1114.323925,1395.805302,1184.4788,1194.26143,1180.470098,1149.635981,1133.650035,1223.522097,1328.397498,1395.535746,1521.589049,1604.11148,1640.80697
Australia,1694.208731,1801.469127,1870.189268,2064.911461,2257.78855,2458.616793,2584.831166,2759.700798,2874.585849,3088.10842,3318.95979,3499.841434,3625.301446,3921.515288,4272.963478,4465.055566,4588.51577,4870.743921,5013.605289,5236.382925,5421.921453,5620.829221,5723.689158,5694.661779,5999.834542,6212.679807,6508.583146,6710.091741,7009.830322,7310.98691,7592.306941,7633.754043,7607.202189,7739.445991,7858.368403,7998.824849,8120.186394,8289.883288,8696.318883,8885.393141,9015.889483,9321.224152,9779.579304,9471.558188,9669.023188,10034.34024,10010.15026,10113.16488,10299.72668
Austria,1617.474759,1692.16089,1786.610864,1885.422409,2016.752937,2110.988392,2186.661721,2248.609163,2400.436424,2576.039244,2755.653697,2907.536438,3115.668602,3335.508863,3476.328735,3466.692794,3733.393677,3863.715812,4032.829747,4222.008463,4374.095761,4334.89884,4374.608102,4479.088329,4721.974612,4910.817627,4972.458951,5140.191265,5338.607562,5481.553072,5538.515886,5733.006093,5601.661765,5627.406065,5683.585639,5805.628722,5994.241775,6061.035205,6154.508526,6383.407809,6436.921044,6624.04665,6571.868775,6727.207708,6846.446715,7091.953294,7116.971522,7258.57153,7261.164239
Azerbaijan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2569.964769,2371.690667,1637.821803,1774.313761,1895.772876,1777.840628,1795.386472,1465.347509,1747.785541,1838.18296,1924.673474,1926.974351,1968.682299,2262.510851,2329.359646,2300.851365,2506.474043,1981.570016,1915.670621
Bahrain,-,-,-,-,-,-,-,-,-,-,-,1908.274653,1950.090988,2092.628161,2315.762876,2705.393197,3289.332422,3732.893312,3758.408111,4386.780492,4776.903512,4992.272231,5316.235597,5639.376116,4644.684997,5395.47508,5706.784665,5715.792016,5841.505909,5896.385123,5995.372405,5740.172931,6552.754287,6947.967125,7324.065172,7480.75304,7949.59865,7845.223962,8559.632167,8783.626079,8700.001545,9222.855394,9834.234038,10749.22408,11096.78291,11474.50982,13031.53998,15087.96415,13532.88072
Bangladesh,-,-,-,-,-,-,-,-,-,-,-,9.752354846,9.541099865,13.78734112,14.89299588,14.95286172,15.04213812,15.84304561,18.77700205,18.20376391,15.96617896,19.24992941,21.79294102,25.14491885,27.70656565,28.49557576,32.50105413,33.58215785,35.67777829,43.56734614,42.82964445,43.51489474,52.97134041,59.83872783,63.5092062,70.2387456,74.24434599,76.63040644,81.30616702,88.74278582,95.6258718,105.3170901,112.3920441,117.9931466,144.9951831,154.2479465,173.9324238,180.8454432,206.9642496
Belarus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3716.794898,3771.724308,3465.473831,3036.785259,2685.641871,2433.350916,2450.201366,2572.883239,2637.758396,2613.842884,2583.53873,2580.126131,2551.598582,2587.910934,2641.952326,2686.95953,2765.480655,2789.789707,2860.169548
Belgium,1249.635446,1300.393316,1416.227278,1533.492254,1710.780822,1816.247527,1923.503997,2040.339988,2278.455471,2507.135069,2710.649899,2880.539081,3202.108859,3512.913489,3711.534272,3489.009499,3828.535307,3987.054057,4188.87761,4449.322671,4403.034756,4407.739781,4383.974028,4507.727166,4724.704464,4900.660824,5002.826973,5251.2946,5472.757481,5634.914995,5817.296996,6049.974664,6230.999428,6277.513116,6565.20054,6741.233522,6866.001654,7043.473478,7240.197278,7280.570852,7556.395567,7594.102533,7608.742118,7719.263416,7791.008823,7739.62113,7960.336809,7978.360136,7948.988176
