Births attended by skilled health staff (% of total),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4,,,14.3,,,18.9,,24,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.1,,98,,,99.8,,,,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,,,,,92,,95.9,,,,95.2,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5,,,,47.1,44.7,,,,,,47.3,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,,100,,99.9,99.9,99,99,100,99.9,99.9,100,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.8,,,,,,97.5,97.5,,,,98.7,98.7,99.1,99.4,99.4,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.4,,97.3,96.8,,,,,97.8,,99.9,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,100,99.3,,,100,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.8,,84.1,88,,,99.7,,88,,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,99,,99,99,99,99,,99,99,99,,99,99,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,,,,,,,97.6,,,,,,,,99,,99,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,,,8,,,12.1,11.6,,14,13.2,,20.1,18,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,91,98,,,100,100,100,100,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9,,,99.9,,99.9,100,,,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,99.3,,,,,,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,79,,,79,83.3,100,,97,,87.8,89.3,95.8,94.6,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.8,,,,,65.5,,,,75,74,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,,,,,,23.66,,,56.1,,,,71.4,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.20000076,,,,,47.1,,,,59.3,,68.8,,65,66.8,,,,,65.8,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.4,,,,,,,,,99.6,,,,,,99.6,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.4,,,,,,,,87,,,,94.2,,,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.9,,,,,87.6,,,,,96.45,96.7,96.6,,,97,,,
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,99,,,100,,99.6,99.7,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.2,,99.4,99.4,99.4,,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.5,,,,,,31,,,,37.8,,53.5,53.5,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1,,,,,,,,,,,,,25.2,,,,,33.6,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,31.8,,,,,43.8,,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.4,,,,,,,55,,60,,,,61.7,,63,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,98.3,,,100,,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,88.5,,,,,,,77.5,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,,,,
Central African Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.9,,,,,44.1,,,,,,53.4,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,16.3,,,,14.4,,,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4,99.5,99.5,99.6,99.6,99.7,,,100,99.8,99.8,99.8,99.8,99.8,,,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.29999924,,,,,,,,,,66.8,,,,97,95.9,97.3,97.8,97.8,98.4,,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,81.8,,,,,85.6,,,,,86.4,,,,,96.4,,,,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.6,,,,61.8,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.7,,,,,,74,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.4,,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,98,98.2,,98,97.5,,98.5,,,,,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.4,,,,,47.1,62.8,,,,68,,56.8,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.8,,,,,,,,99.8,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.8,,,,,,99.9,,99.9,,,99.9,99.9,,99.9,99.9,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,99.9,,99.9,99.9,99.9,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.6,,,92.9,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,95,99.9,99.9,100,100,100,100,99,,94,,
Dominican Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,89.7,,,,,93.1,,,,,95.5,,,96,97.6,,97.8,,,,95.5,97.8,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.3,,,,,,,,,,,,99.1,,,,,74.7,,,,,
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.59999847,,,36.5,40.7,,,46.3,,56.4,55.2,,60.9,,,69.4,,74.2,,,78.9,
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,85.4,,,52,,,,,51,,,,,,,,,,92.4,,,,,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,64.6,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6,,,,,,,28.3,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.6,,,99.8,99.8,,,
