Fixed broadband Internet subscribers (per 100 people),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.000765361,0.000820985,0.001816939,0.001769287,0.001722884,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.008744353,,0.319238119,2.036082564,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.056452107,0.111227402,0.410902178,0.509722538,0.847768846,1.410973698,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.163464296,8.421137296,13.3068252,18.2960719,23.96811876,24.66516725,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.043641825,0.066649254,0.088465089,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1.895217064,6.84870831,8.021320853,8.083744935,14.51508646,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.251889284,0.392818148,0.680761245,1.414777494,2.392676595,4.049863053,6.583867777,7.986574724,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000195731,0.000261387,0.000326801,0.032660057,0.064928179,,0.126934531,0.161191413,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1.440901413,7.021701424,12.14814522,13.58643791,15.35478421,17.44440757,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.632565806,1.31339243,2.597585371,5.02797182,9.884872615,18.84249127,22.92181753,23.98305322,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.636076192,2.377813908,3.986067098,5.579170265,7.255660401,10.64259239,14.25916704,17.28962439,19.54031352,20.73905898,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.012237067,,,0.026025251,0.04661414,0.170137392,0.691236276,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.338905908,2.406493063,3.446993923,3.982852859,2.196954801,5.034425628,3.901873151,10.08327707,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.176854339,0.732060117,1.399203329,2.101453144,2.945687849,5.195273307,9.684949181,14.18206902,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0.027707958,0.031249975,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,10.84280923,11.73019367,12.61278337,21.76533144,37.55750502,64.80723189,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000201511,0.0012457,0.007634,0.015999032,0.117328538,1.750154607,4.935517026,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.107066549,0.224916879,1.40460398,4.471663264,7.891396497,11.9787818,15.54481577,19.1874335,22.34065589,25.55415643,27.66464524,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.343441725,1.000353857,1.719928069,1.855850846,2.097271268,2.389009624,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000295237,0.000285398,0.001064287,0.002491222,0.018429646,0.02386475,0.031170321,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,29.08132767,37.05799373,44.9984375,52.8894081,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0.299946563,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.03844538,0.064965624,0.096823656,0.141286347,0.188040701,0.356732824,0.677050082,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.005640811,0.039650368,0.175500111,0.362364642,1.05778466,2.241445476,4.994831836,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.087001441,0.096523492,0.187061476,0.463270943,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00059115,0.004077464,0.057413703,0.187366475,0.408098633,0.53226069,1.717287873,1.737904802,2.533506895,4.001527036,5.260148347,
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.556145466,0.791677196,1.079578857,1.726167341,2.195771127,2.374934427,2.905272676,3.555113694,
