Military expenditure (% of GDP),1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Afghanistan,,,,,,,,,,,,,,,,2.007599021,1.994817761,1.630821673,1.614267185,2.195463918,1.912833333,1.759663866
Albania,5.615004704,5.165676373,5.888300832,,4.649458883,3.199297903,2.500385762,2.099713037,1.517095504,1.378706629,1.228881993,1.242064526,1.22789866,1.299607362,1.315793712,1.359223905,1.353507455,1.314877184,1.543749668,1.798407676,1.971507353,2.070875886
Algeria,1.74077246,1.535553959,1.457358755,1.23611608,2.194237699,2.55660378,3.137780742,2.956244301,3.094124505,3.637364334,3.965659634,3.755079887,3.433394,3.79048538,3.681837018,3.243812224,3.295901509,2.857981064,2.640589756,2.905548294,3.024938875,3.756400419
American Samoa,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,7.05625105,7.565727256,17.52184612,5.707519839,4.706501677,2.453641144,5.993886236,2.642426387,17.33737115,6.392766792,4.524358889,3.837421143,4.800881087,4.134137685,4.456252074,4.362639001,3.429494089,2.879674488,4.192896622
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,
Argentina,1.440636761,1.411819857,1.088186656,1.317869702,1.239421433,1.385171717,1.457038777,1.473073803,1.241228368,1.140139547,1.136316645,1.220359449,1.148823706,1.184234797,1.091879972,1.060894065,0.957235117,0.927738439,0.862265257,0.875001416,0.849279096,0.760830815
Armenia,,,,,2.095489753,2.121652479,,4.05931198,3.281866893,3.90944075,3.528106516,3.69732475,3.560034569,3.127283402,2.697744107,2.728353748,2.742007187,2.871931363,2.947605627,3.042565175,3.323047215,4.041587748
Aruba,,,,,,,,,,,,,,,,,,,,,,
Australia,2.256677223,2.129989803,2.082614621,2.125787031,2.171168897,2.185501541,2.14237742,2.050881879,1.952727785,1.89518292,1.895813117,1.916989859,1.873116151,1.904811614,1.91885185,1.911206535,1.890618587,1.879865725,1.911895338,1.893841168,1.870361752,1.939706301
Austria,1.296991628,1.230724982,1.196656038,1.15824437,1.108251453,1.123395044,1.107120143,1.073232064,1.049682989,1.04643401,1.018072847,1.007179823,1.007089098,0.940712403,0.913420516,0.945355099,0.927048488,0.886754311,0.819223904,0.943347054,0.904320877,0.912801032
Azerbaijan,,,,,2.074645754,4.774576336,3.683168507,2.736901303,2.254230341,2.324049799,2.412355913,2.625109931,2.267862063,2.313943863,2.243321171,2.42076541,2.625933437,2.299860252,3.419354185,2.86313711,3.536311659,3.487665924
Bahamas,,,,,,,,,,,,,,,,,,,,,,
Bahrain,5.028374514,5.093962853,5.105633803,5.139137042,5.295566502,4.827903726,4.600171828,4.683095526,4.750904614,4.56582732,4.77398815,4.940751345,4.037505293,4.226485979,4.698364969,4.774897681,4.260859273,3.615957636,3.405297502,3.196222123,2.97496175,3.60297536
Bangladesh,1.138101006,1.186057009,1.110647935,1.092219479,1.204258719,1.284602908,1.404672706,1.415047858,1.387412435,1.431257211,1.420545915,1.423641914,1.407804357,1.341766241,1.248348286,1.202674429,1.190186234,1.160080603,1.18875832,1.201011097,1.175840347,1.130457752
Barbados,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,1.622498648,2.790971461,3.619360205,1.699304628,1.260430611,1.768938808,1.49509849,1.366759067,1.34698592,1.438287564,1.400244086,1.29906358,1.358222749,1.498453135,1.709412492,1.649765914,1.453492852,1.828425804
Belgium,2.558568825,2.395603147,2.292564571,2.22702758,1.783876727,1.689959672,1.632493483,1.565607678,1.540244566,1.476930588,1.435412948,1.415942557,1.373029467,1.307852124,1.24657044,1.245484484,1.180434969,1.122686523,1.079365079,1.12598296,1.169834728,1.14163733
Belize,0.984439505,1.197852074,1.149981887,1.068086041,1.022882305,1.098685831,1.360286026,1.298320564,1.239724838,1.436873586,,,0.853291066,0.854513849,0.841663837,0.86521027,0.899362555,0.959749188,1.001562578,1.049538486,1.148156326,
Benin,2.300101445,1.898822451,1.778707611,,,,,,,,,0.747397784,0.642892736,0.55285417,0.926151173,0.970888341,1.032270134,1.091178421,1.0340496,,1.013499967,
Bermuda,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,
Bolivia,,1.701603962,2.700228681,2.576817335,2.412100687,2.514415032,2.36283081,2.249103053,2.069977126,2.199603654,2.31299916,2.014279588,1.923799361,2.255052306,2.192923323,2.217934303,1.993504934,1.833199195,1.624017225,1.722176565,1.496349056,1.649596395
Bosnia and Herzegovina,,,,,,,,,,,,,,,3.624853559,2.41981435,1.995442283,1.612725717,1.455051344,1.291419642,1.314906357,1.546219888
Botswana,3.536126391,3.331428893,4.126284146,4.365963052,4.298174419,4.464108567,3.930790439,3.476215692,2.926868514,3.098723364,3.487539238,2.889913014,3.278065465,3.48711927,3.670959539,3.722282755,3.125704932,2.925045165,2.517812083,2.559554045,2.501841194,3.122286763
Brazil,,,1.731782474,1.161131952,1.17012207,1.567696744,1.62997878,1.86213698,1.676016117,1.599430774,1.701462817,1.68056338,1.759501205,1.962698213,1.909837585,1.519399417,1.473501389,1.540583046,1.5060663,1.498754013,1.409364008,1.637392053
Brunei,6.629977257,6.234373054,6.56636871,6.630180027,6.016140809,5.697919917,6.407176234,6.035767396,6.418965585,7.101204955,7.256636894,5.617545071,4.069210172,3.886213877,3.870758679,3.711424379,2.532726835,2.609671266,2.556815181,2.630683379,,
Bulgaria,,4.295185183,3.745269013,3.021370671,2.988047809,2.609568418,3.976407915,2.859220926,2.402852725,2.424797606,2.453060673,2.698541114,2.722760934,2.927495174,2.853373358,2.753286304,2.573849804,2.420644683,2.261356064,2.45079202,2.353704137,2.258627199
Burkina Faso,1.796753785,2.109314773,2.250185051,1.831713019,1.744534853,1.556310291,1.320948397,1.279749275,1.186556772,1.084955906,1.160291118,1.14216324,1.156572503,1.079525703,1.075779006,1.03027936,1.122231101,1.175387732,1.228783511,1.401332018,1.52328615,1.345993757
Burundi,3.164565292,3.402680729,3.49807611,3.662139331,3.599734108,3.863536669,4.530615485,4.209072987,5.856328392,6.359393232,6.571714143,6.258234519,5.968688845,8.036363636,7.150188163,7.296299885,6.752803644,6.22668623,4.868005622,4.726415094,3.751803752,
Cambodia,,,,,,1.761288595,3.842342793,3.577311888,3.238454376,3.003352617,2.662043769,2.510034122,2.191066722,1.789894342,1.576916047,1.454073962,1.267355606,1.122143084,1.098858904,1.107237026,1.186607479,
Cameroon,1.2490095,1.371580652,1.495615604,1.508801845,1.467843416,1.346146884,1.413628646,1.253366951,1.28728887,1.42179178,1.487257499,1.490274057,1.258789309,1.401980327,0.685737451,1.383806998,1.401603832,1.344861479,1.431105193,1.434416597,1.460184401,1.547498568
Canada,1.986807896,1.934690328,1.958756973,1.895480815,1.86172339,1.821822262,1.696647827,1.554120919,1.403812328,1.246243202,1.256321225,1.241703064,1.144925073,1.170707406,1.156383223,1.150040184,1.14253002,1.145616864,1.158297165,1.223073649,1.286752754,1.437935543
Cape Verde,1.739896006,,,,,0.753040401,0.835285305,1.265090917,0.848693807,0.810049706,0.836511953,0.857793418,1.279874214,0.843657817,0.734072022,0.725288832,0.697797848,0.692917605,0.630491126,0.592063551,0.575093657,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,,,,1.537983886,1.616671979,1.473966986,1.253206922,1.16,1.139751553,,,,,,1.025136928,1.318361398,1.189613827,1.140418919,,1.116313336,1.584971358,1.794235642
Chad,,,,,,3.306479464,2.335693939,1.718097263,1.909414871,1.330984891,1.146360475,1.693305997,1.90644509,1.795664917,1.725196702,1.496336428,1.144773061,1.046623051,,5.553901132,7.313034188,6.372366791
Channel Islands,,,,,,,,,,,,,,,,,,,,,,
Chile,4.936005844,4.077923442,4.157002934,3.946525988,3.721348408,3.595054512,3.370053977,3.059073716,3.089256561,3.208281768,3.418651544,3.680812241,3.701757711,3.709509612,3.808870116,3.602089769,3.70339807,3.607654271,3.715249361,3.423771395,3.501355694,3.075621228
China,,2.677683421,2.689122446,2.483759153,2.581388007,2.091475891,1.813357013,1.727152649,1.770244715,1.684119889,1.789057131,1.884541187,1.814241798,2.033650996,2.12743502,2.083597157,2.014031923,1.968233575,1.992470219,1.922423623,1.907367533,2.014642871
Colombia,2.369719149,2.584830364,2.56573497,2.20249991,2.643588793,2.993291337,2.284813577,2.502394951,2.954978607,3.302179378,2.634476426,2.785603445,2.777063875,3.052509935,3.179562356,3.580078693,3.315294406,3.262053626,3.412122185,3.303695118,3.744031671,4.08456291
Comoros,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,1.546747755,1.375000022,0.428432721,1.157764748,0.976438893,,,1.388115521,2.113708954,2.325672376,2.40073008,2.059876403,1.37122111,1.135296139
"Congo, Rep.",,,,,,,,,,,,,,1.385246302,1.664449618,1.906093119,1.63083313,1.306693244,1.090140009,1.271617307,1.20128611,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,1.24914713,1.329009118,1.33360325,1.374000303,1.405880534,1.345633578,1.011260163,,0.845688055,0.797848901,,,,,,1.550556719,1.620116135,1.52701971,1.539445643,1.634795711,1.575580307,
Croatia,,,,,7.611061459,10.72733814,11.14806739,9.345610973,8.305617221,7.647231312,5.684792857,4.488750296,3.065949074,2.730790661,2.765857226,2.077913612,1.717672961,1.621217052,1.703866201,1.657829057,1.873984618,1.807764231
Cuba,6.120976619,6.53034985,6.406355113,6.51080877,,1.812516867,,,,,,,,,,3.506856336,3.410691195,3.845829151,3.213714884,3.201157604,3.215064875,
Cyprus,5.68881979,5.368058525,7.374035607,7.264776162,9.129286023,4.074952576,4.023989208,3.230606415,4.792387377,6.004990188,5.067922473,2.968256625,3.025351613,3.387318133,2.304260618,2.168153846,2.141686784,2.243308546,2.105962514,1.85778791,1.797330674,2.230554477
Czech Rep.,,,,,,2.372243839,2.283426222,1.928031083,1.812464653,1.729783214,1.885465591,2.003463096,2.040500299,1.912155952,1.985203893,2.064095052,1.864491563,1.958703184,1.717928642,1.506480062,1.310926502,1.543454599
Denmark,2.049295932,1.984092951,1.950757035,1.95468015,1.889377285,1.90719767,1.770109883,1.713313292,1.673324058,1.645373614,1.638942744,1.601024497,1.494554717,1.57358692,1.549386372,1.504616657,1.462371605,1.34605441,1.420210963,1.343859077,1.404934133,1.393259646
Djibouti,7.847485683,7.596903161,6.879119075,6.871325994,7.033815515,6.665732989,6.246030429,5.948720268,4.964975226,5.282305006,5.192776067,4.995135018,4.721059396,4.550253316,5.624683499,6.713679914,5.60844773,6.326581804,6.440045373,4.071191097,3.692080382,
Dominica,,,,,,,,,,,,,,,,,,,,,,
Dominican Rep.,0.736670638,0.669921954,0.56545705,0.448851944,0.524075181,0.620818951,0.604899467,0.440233034,0.491375694,0.612920376,0.584034839,0.583280702,0.739630684,0.900556386,0.957671977,0.5789748,0.450256799,0.65558695,0.532777767,0.55775858,0.613324969,0.568097002
Ecuador,2.177259824,1.98466863,1.951502355,1.842546136,1.759653064,1.833156217,1.566790443,2.351950911,1.970095848,2.111186257,2.360782725,1.775218917,1.669386205,1.807058747,2.028154723,2.580675892,2.175096826,2.565416645,2.274728272,2.860925768,2.830712373,3.345021695
Egypt,6.906095196,5.807964461,4.702629698,4.637536699,4.453630482,4.383376289,4.172571429,3.894117647,3.494333043,3.197818729,3.284272791,3.212288687,3.189356072,3.306105381,3.362628635,3.340838325,3.025757248,2.853853307,2.740327025,2.502242633,2.292764627,2.144738199
El Salvador,2.119392441,2.424400261,2.312062686,2.184147496,1.864082696,1.470166748,1.17122459,1.020999816,0.934512137,0.87563972,0.801937429,0.800663951,0.852738997,0.789126327,0.761880797,0.704473406,0.670958268,0.638539677,0.621863876,0.598723051,0.529248919,0.639795266
Equatorial Guinea,,,,,,,1.892178296,2.102610177,,,,,,,,,,,,,,
Eritrea,,,,,,22.03057304,13.4037616,20.84178088,21.95708388,12.8271012,35.27382517,39.61541886,36.40299095,24.22728024,22.31535434,23.55335201,,,,,,
Estonia,,,,,0.519072071,0.762479021,1.043082164,0.963418291,0.877118509,1.049589092,1.070636072,1.291716602,1.378910206,1.503616289,1.666765977,1.741665934,1.703162584,1.912478557,1.89762231,2.077269348,2.150757397,2.288806299
Ethiopia,5.680590916,6.8629723,6.497158336,3.959043639,2.453492825,2.187792482,2.044696581,1.585374587,1.498210916,2.6170036,5.875679764,9.507042254,7.614632097,4.349743484,3.720141954,3.264234701,3.099435161,2.784749969,2.284240096,1.877448481,1.499163112,1.307324417
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,
Fiji,2.223481985,2.456849794,2.282828283,2.345739471,1.993658515,1.959151299,1.844783715,1.761160634,1.542838019,1.478614667,1.36403682,1.22604763,1.902479248,1.97650996,1.677510099,1.61027625,1.715759387,1.433805394,1.332969435,1.384240053,1.358452982,
Finland,1.591198641,1.513928139,1.542148705,1.757496067,1.884995962,1.850019668,1.746601315,1.460629675,1.576742543,1.584165797,1.510965439,1.269820491,1.279993944,1.187517062,1.19269059,1.379490565,1.400609932,1.40235336,1.37705789,1.225918465,1.336589963,1.505997723
France,3.598355841,3.503296787,3.422471774,3.432637714,3.287203886,3.298738666,3.253912179,3.042775977,2.948703526,2.900052457,2.720650069,2.668925982,2.546323919,2.483794588,2.497877053,2.551018489,2.57139398,2.464850747,2.405683607,2.335955983,2.312689023,2.411510437
French Polynesia,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,1.801452248,1.910440849,1.920167578,1.790230457,1.714089818,1.312651775,1.161975358,1.063920092,,
Gambia,0.81053131,0.956071702,1.092743107,1.251524034,1.007091708,0.69662453,0.638591623,0.754240881,1.003742612,1.019555867,0.972165201,0.814726015,0.789610583,0.587253697,0.61105436,0.568521843,0.48188767,0.647487475,0.548156456,0.697875494,,
Georgia,,,,,,,,,2.210173027,1.253587669,1.136973956,0.924374856,0.615582491,0.740186005,1.000532997,1.068414394,1.374144337,3.338799775,5.221207622,9.156291954,8.519069894,5.621612196
Germany,2.588404421,2.482081768,2.46836224,2.184934185,2.034956456,1.856678293,1.692741383,1.631583218,1.5988871,1.537445578,1.517365599,1.521023857,1.481406061,1.450339776,1.454287554,1.435437656,1.384504048,1.364731068,1.305179454,1.278161487,1.28651459,1.370864795
Ghana,0.47564869,0.423365833,0.46855688,0.617912171,0.642197719,0.697296041,0.691642651,0.761123366,0.643812783,0.658948234,0.768963922,0.767743127,1.020163889,0.609392525,0.599647988,0.698331411,0.634639209,0.59839113,0.371023457,0.509619465,0.397632348,0.431275782
Gibraltar,,,,,,,,,,,,,,,,,,,,,,
Greece,4.533438424,4.065045029,4.100658873,3.761943699,3.919115934,3.886608958,3.867779112,3.838967705,4.006223215,4.071219132,4.274550776,4.311351407,4.344699494,4.088019061,3.885333613,3.105587634,3.244127996,3.48985741,3.478578698,3.310413317,3.604564007,3.989161449
Greenland,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,
Guatemala,1.591628178,1.536863628,1.471576784,1.080285168,1.25404233,1.07871279,1.079427888,0.989939804,0.821126765,0.742537209,0.720836747,0.67560091,0.818068165,1.051859533,0.762429634,0.715335941,0.426905888,0.36971264,0.432047011,0.398456449,0.425490066,0.44352624
Guinea,,,,2.380191876,1.694382077,1.340506105,1.355911028,,,1.172671371,1.255008515,1.595106264,1.476946538,3.037080427,3.211746574,2.441199257,2.228569327,,,,,
Guinea-Bissau,,2.072211088,,,,,0.855925838,0.870947719,0.701776941,0.676895595,1.404761905,,4.423728814,3.10692268,3.12507235,1.579296087,,2.051909358,,,,
Guyana,2.027549604,1.200387296,0.906479446,0.603017725,0.983243608,0.975965529,1.014665141,0.915362879,0.787568513,,,,,,,,,,,,,
Haiti,,,,0.087403883,0.082624662,0.091529229,0.075409118,0.092071988,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,0.483806665,0.545535548,0.695225972,0.643477036,0.57458648,0.546398427,0.504634204,0.68244985,0.83272705,0.776585973
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,
