Mobile cellular subscriptions (per 100 people),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Afghanistan,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100605852,0.784855387,2.296081565,4.478099316,9.158703034,16.51840211,27.21781488,
Albania,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074052705,0.106906621,0.182076636,0.358583595,0.971164015,12.79247328,27.66326364,35.63634856,40.64928355,49.19482836,61.17992755,74.14101003,99.93306379,
Algeria,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001858992,0.018451513,0.018016887,0.017612025,0.00486188,0.016596327,0.040681677,0.059557086,0.060715664,0.239428612,0.281911256,0.323057008,1.433253855,4.537893242,15.0849507,41.58133725,62.95959058,81.40641277,92.71988192,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4616483,3.680971094,3.415163238,3.460772337,3.642975888,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.4092343,78.2407035,83.07597282,86.37808878,77.27305914,76.60376683,
Angola,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009342904,0.014993151,0.015902218,0.025590123,0.053348342,0.072486228,0.172713809,0.180720386,0.510052003,0.923237668,2.236874532,4.586170897,9.695257236,17.87465714,28.26347646,37.58659779,
Antigua and Barbuda,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,1.857992225,1.949100629,2.03585825,11.26394742,28.52179324,31.78316255,47.74192742,56.7314792,65.51966803,102.9520914,130.2143904,131.2233626,157.6655816,
Argentina,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00717927,0.036925909,0.075858438,0.139438006,0.330703131,0.702683886,1.165876575,1.893732538,5.632232874,7.396210519,10.53461732,17.56408613,18.06579686,17.42928815,20.62472058,35.21413677,57.20503228,80.57821351,102.3076634,116.6130916,
Armenia,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00945729,0.159501335,0.251883092,0.264073028,0.56850047,0.831988768,2.33121566,3.737919793,6.640083557,10.3768934,41.0549866,61.07214113,99.99099798,
Aruba,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029020837,,,2.138119003,3.610933908,3.990756273,6.181208208,13.51853729,16.54588173,57.149635,65.11363277,72.04713056,99.21846638,102.3565858,106.1656507,109.0327907,114.55692,
