Total expenditure on health as percentage of GDP (gross domestic product),1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
Algeria,3.6,3.3,3.5,4.1,3.7,3.5,3.8,3.7,3.6,3.7,3.5,3.6,
Angola,4.1,2.5,3.1,3.3,3.4,2.4,3.5,2.3,2.6,2,1.8,2.7,
Benin,5,4.8,4.6,4.7,4.9,4.6,5,4.6,4.6,4.9,5.4,5.3,
Botswana,5.1,5,4.7,5.1,5,4.8,4.2,5.7,6.4,7.7,8.3,7.2,
Burkina Faso,4.3,4.6,4.6,4.7,5,4.9,4.7,5.1,5.4,6.1,6.7,6.4,
Burundi,3.6,3.3,2.9,3.1,2.9,3.1,3.1,3.2,3.2,3.2,3.4,3,
Cameroon,4.2,5.4,4.5,4.6,5.1,5.1,4.8,4.9,5,5.1,5.2,5.2,
Cape Verde,5.1,4.6,4.5,5.1,4.5,4.6,5,5,4.6,5,5.6,5.6,
Central African Rep.,3.7,3.7,3.9,3.7,3.6,4,3.9,4.1,4.1,4.1,4,3.9,
Chad,5.8,5.5,5.5,5.6,5.9,6.3,6,5.3,5.2,4.2,3.7,3.6,
Comoros,4,3.9,3.9,3.4,3.2,2.8,2.3,2.9,3.1,3,3,3.2,
"Congo, Rep.",3.1,2.8,2.9,3.6,3.1,2.1,2.4,2.4,2.5,2.4,1.9,2.1,
Cote d'Ivoire,5.4,6,6.5,6.9,5.8,5.3,4.3,3.7,3.9,4,3.9,3.8,
"Congo, Dem. Rep.",2.8,2.5,3,3.6,3.1,3.6,3.2,3.2,3.9,3.9,4.2,4.3,
Equatorial Guinea,4.5,4,3.1,4.2,2.3,1.6,1.7,3.8,1.9,1.8,1.7,1.5,
Eritrea,5.3,4.2,4.8,5.1,4.8,5,5.6,6.4,6.4,6.1,4.7,4.5,
Ethiopia,5.2,5.1,5.5,5.4,5.4,4.7,5.6,5.6,5.3,5,4.9,4.9,
Gabon,2.3,2.3,3.1,4.8,4.6,4.3,5.5,5.1,4.7,4.5,4.1,3.7,
Gambia,4.5,4.1,4,4.5,4.4,4.4,4.5,4.5,4.9,5.4,5.2,4.3,
Ghana,6.4,6.2,6.8,6.9,7.3,7.4,7.1,6.5,6.2,6.2,6.2,6.2,
Guinea,5.1,5.2,5.1,5.3,5.2,5.3,5.8,5.9,5.9,5.8,5.6,5.7,
Guinea-Bissau,4.6,7,6.4,8.5,4.7,7,5,8.4,7.3,5.7,6.2,6.2,
Kenya,4.6,4.4,4.4,4.2,3.9,4.5,4.5,4.5,4.4,4.3,4.5,4.6,
Lesotho,7.2,6.9,5.9,6.3,5.9,6.2,7.1,6.6,6.6,6.4,5.5,6.7,
Liberia,,,3.4,3.3,3.8,3.2,3.6,3.2,3.5,5.4,6.4,5.6,
Madagascar,2.6,2.9,2.7,2.6,2.5,2.6,3.5,3.8,3.5,3.3,3.2,3.2,
Malawi,6.6,7.1,7.8,9.1,8,6.1,7.8,10,12.8,12.8,12.2,12.3,
Mali,5.2,6.6,6,5.7,6.1,6.3,6.4,6.3,6.3,6.3,5.8,6,
Mauritania,2.6,1.7,1.9,2.3,2.8,2.8,2.3,3.2,2.9,2.4,2.7,2.2,
Mauritius,3.5,3.4,3.4,3.6,3.5,3.8,3.9,4.2,3.9,4.3,4.3,4.3,
Mozambique,4.2,3.8,4.1,4,4.5,5.4,4.8,5,4.5,4.3,4.3,4.7,
