Electricity generation per person (kilowatt-hours),1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Arab Emirates,8755.930924,8669.393922,9121.671254,10380.27738,11112.90063,11478.74672,11993.37773,12626.72639,14564.68422,15928.02508
US,12734.98933,12715.51214,12594.39932,12885.55634,12934.3948,13193.29749,13389.4424,13413.89979,13751.8137,13876.67872
Taiwan,4448.009826,4839.506881,5101.194871,5516.56485,5910.268902,6254.666614,6618.669093,6943.859763,7463.631071,7705.608849
UK,5561.325599,5599.08754,5548.008567,5568.139753,5609.75562,5775.235668,5985.585171,5962.886238,6143.779017,6208.996224
Ukraine,5782.387545,5393.351737,4869.950629,4430.907621,3929.732535,3785.919555,3576.067473,3494.148473,3442.213407,3455.43584
Venezuela,3069.615449,3198.657934,3327.812802,3351.066232,3369.820919,3407.233898,3440.728727,3489.077114,3552.703775,3479.161813
Turkmenistan,3983.544498,3962.087345,3403.990828,3212.461207,2611.704097,2389.079663,2413.764095,2202.916756,2091.846305,2029.804293
Uzbekistan,2731.031838,2562.550672,2361.845785,2209.411241,2092.39798,2074.662917,1956.053967,1949.435293,1914.298803,1859.352502
Turkey,1026.002988,1054.441959,1157.493826,1246.493351,1300.583338,1409.518419,1526.882595,1617.824056,1734.285694,1798.746613
Thailand,836.5714181,938.439868,1053.503801,1155.125568,1280.812255,1421.440246,1531.280384,1620.032935,1549.303733,1535.426097
