"Murder per 100,000, age adjusted",1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Afghanistan,,,,,,,4.650731,,3.83731842,3.83731842
Albania,,,,,,,5.972975,8.115988691,6.681117058,7.326701331
Algeria,,,,,,,13.10029,14.41026872,9.806334496,4.389205469
Andorra,,,,,,,0.7674673,,0.726512909,0.726512909
Angola,,,,,,,51.05726,,48.2061882,48.2061882
Antigua and Barbuda,,,,,,,10.83324,,7.484961987,7.484961987
Argentina,4.741041,4.957648,4.904284,5.452861,5.967418,7.111205,7.713972,7.412274,5.883619,5.253773
Armenia,,,,,,,3.561113,3.25564946,3.210839272,2.352248501
Australia,1.743831,1.677544,1.559592,1.553127,1.591825,1.582942,1.471317,1.315963,0.7799816,0.7799816
Austria,1.12697,0.8800058,1.090631,0.8085831,0.8752125,0.9441938,0.848053,0.606585,0.7076773,0.8093888
Azerbaijan,7.749886,6.293352,5.967566,4.995807,3.25028,,2.998835,,2.936593771,2.694325568
Bahamas,,,,18.282,23.338,18.423,20.97188,16.21,22.38367081,17.137
Bahrain,,0.4836419,0.2851388,0.2713796,1.126918,0.51556,0.8951424,,1.107708812,0.619166328
Bangladesh,,,,,,,9.85853,,9.665283203,8.758199518
Barbados,,,,,8.708,9.267,7.627024,8.284,14.4835186,14.4835186
Belarus,,11.27892,11.52993,10.50504,10.50552,10.2064,10.36667,8.667797,8.917082787,8.917082787
Belgium,1.898343,1.747339,1.911293,2.372874,,,1.67615,,1.634858,1.352431279
Belize,,11.151,27.203,18.88,33.612,31.382,15.49296,25.93,28.02595901,28.1117907
Benin,,,,,,,12.69587,,15.81544971,15.81544971
Bhutan,,,,,,,6.314584,,5.696219921,4.072302119
Bolivia,,,,,,,4.740839,,4.380421162,4.380421162
Bosnia and Herzegovina,,,,,,,1.887113,,1.773255944,1.825647078
Botswana,,,,,,,7.339478,,24.19230652,22.86416398
Brazil,23.54434,23.929,24.14958,24.27682,25.05934,26.06607,26.53161,26.85295,25.0808,24.40846
Brunei,,,,,,,1.204042,,0.915056646,0.915056646
Bulgaria,4.730007,4.160477,3.549061,2.607907,3.158386,2.840947,2.618082,2.445606,2.527269,2.035024
Burkina Faso,,,,,,,17.12723,,22.51925087,22.51925087
Burundi,,,,,,,23.43919,,44.77554703,44.77554703
Cambodia,,,,,,,21.81548,,21.61433411,18.64992695
Cameroon,,,,,,,12.96422,,19.00482559,19.00482559
Canada,1.708232,1.429128,1.529297,1.483391,1.504231,1.507127,1.499563,1.433002,1.604855,1.715653658
Cape Verde,,,,,,,2.307624,,12.11614895,12.11614895
Central African Rep.,,,,,,,28.60221,,36.04470825,36.04470825
Chad,,,,,,,15.00304,,23.82643318,23.82643318
Chile,3.070076,2.594185,2.826006,2.966781,5.200924,5.415852,5.345984,5.206778,5.260017,5.721781
China,,,,,,,2.844517,,2.056675196,1.717357853
Colombia,65.02799,58.45924,62.23352,63.80735,69.68295,71.27728,73.76714,,50.46709,41.77329
Comoros,,,,,,,8.972472,,11.28646374,11.28646374
"Congo, Dem. Rep.",,,,,,,27.34145,,45.12899399,45.12899399
"Congo, Rep.",,,,,,,20.57157,,23.47578049,23.47578049
Cook Is,,,,,,,0.9642753,,0.840270817,0.840270817
Costa Rica,6.116924,6.091542,6.199417,6.468807,6.65291,6.3992,6.059562,7.034359,6.23091,7.078857
Cote d'Ivoire,,,,,,,33.18391,,62.40543747,62.40543747
Croatia,2.787108,2.534701,3.143495,2.581855,2.429961,1.750294,1.293672,1.470179,1.595376,1.208552
Cuba,6.091196,6.301495,6.882412,5.123363,5.049434,5.184182,5.608366,5.427317,5.540273,5.78205
Cyprus,,,,0,0.7501113,,0.2177383,,1.353545,1.59666
Czech Rep.,1.570378,1.488399,1.547569,1.403497,1.453772,1.212512,1.193449,1.192611,1.070708,0.8018482
Czechoslovakia,,,,,,,,,,
Denmark,1.119592,1.163418,0.9362601,1.102958,1.21086,0.8622859,0.8945526,1.105446,0.6282001,1.004284
Djibouti,,,,,,,4.094099,,3.778978348,3.778978348
Dominica,,,,,,,4.584023,,9.842386246,9.842386246
Dominican Rep.,6.925,8.188,9.886,10.944,8.985,10.725,11.19151,13.144,18.60583878,19.49140808
East Germany,,,,,,,,,,
Ecuador,,15.568,18.08,18.758,21.468,19.779,24.76968,15.745,25.1291256,22.05639723
Egypt,,,,,0.0796743,,1.460151,,1.497259259,1.559354009
El Salvador,,43.45,49.424,42.003,39.274,37.981,42.39205,33.831,41.18565369,49.73319
Equatorial Guinea,,,,,,,15.89756,,28.29985428,28.29985428
Eritrea,,,,,,,9.640601,,20.3461647,20.3461647
Estonia,19.90375,15.76437,18.03358,15.63435,13.07728,13.92882,10.55732,10.21876,6.907458,8.09041
Ethiopia,,,,,,,26.46085,,25.66409874,25.66409874
Fiji,,,,0,,,0.860967,,0.692033589,0.692033589
Finland,3.298618,2.536136,2.238693,2.512355,2.631521,2.659637,2.513534,1.779634,2.305308,1.919503
France,0.9991262,0.8967677,0.7136183,0.6816378,0.842521,0.8189615,0.7848521,0.7293937,0.7072825,0.6886944
French Guiana,,,,,,11.19,14.198,9.059,14.31,8.453
Gabon,,,,,,,11.2005,,18.65348244,18.65348244
Gambia,,,,,,,11.81684,,16.07437325,16.07437325
Georgia,0.558767,1.922272,4.130165,3.626255,3.072853,3.708992,3.500809,,3.372169733,4.894723005
Germany,1.077464,0.8856388,0.8661771,0.8778646,0.7330402,0.6831061,0.7247784,0.6584057,0.6259494,0.54845
Ghana,,,,,,,10.6842,,14.09178352,11.67912194
Greece,1.407876,1.413615,1.171927,1.057041,0.9715257,0.8845677,0.6569903,0.9716066,0.81206,0.9168984
Grenada,,,,,,0,4.573865,0,4.71316433,4.71316433
Guadeloupe,,,,,0.494,4.456,4.877,4.655,3.942,5.152
Guatemala,28.12424,37.70043,34.02543,24.08603,24.62864,25.19448,28.89205,33.41443,32.97674,41.17918
Guinea,,,,,,,29.59962,,20.49188805,20.49188805
Guinea-Bissau,,,,,,,15.77847,,21.19964027,21.19964027
Guyana,,,4.365,10.643,,10.493,10.55486,28.207,23.80722046,25.76643348
Haiti,,0,,2.113,,2.521,14.55608,2.865,6.842729568,6.842729568
Honduras,,,,,,,16.23169,,26.43181038,29.05707608
"Hong Kong, China",,,,,,0.767,1.05,0.975,0.517,0.674
Hungary,2.894431,2.951418,2.945004,2.612514,2.379586,2.082933,2.281126,1.73142,1.856074,1.623754
Iceland,0.443,1.204,0,0.542,2.104,0.732,0.5809463,0,0.997511327,1.04
India,,,,,,,6.583668,,6.542599678,6.271878578
Indonesia,,,,,,,10.38724,,9.675540924,9.675540924
Iran,,,,,,,5.045862,,2.772690535,2.772690535
Iraq,,,,,,,4.063911,,8.52824688,8.52824688
Ireland,0.931271,0.8420752,1.058841,0.9792913,1.029732,1.022907,1.065051,0.8853595,0.5714058,0.89559
Israel,1.042703,0.5413063,0.502186,2.1433,3.123014,5.798099,7.764957,5.056236,3.574071,2.958549
Italy,1.367755,1.156991,1.193191,1.158323,0.9749168,0.9009612,0.9151503,1.061044,0.89705956,0.89705956
Jamaica,,,,,,,0.5422887,25.14149419,37.65297318,42.59419611
Japan,0.5386051,0.5574386,0.618821,0.5743886,0.5748762,0.5454463,0.5275312,0.5315602,0.4762617,0.4393612
Jordan,,,,,,,3.1967,,7.423037052,4.873558983
Kazakhstan,19.90731,18.93386,18.89562,17.09966,17.21426,15.94061,13.30208,14.94906,15.99455,14.25414
Kenya,,,,,,,18.17729,,26.34147644,23.17690221
Kiribati,,,,,,,7.258041,,6.451722145,6.451722145
"Korea, Dem. Rep.",,,,,,,19.37821,,18.62838554,18.62838554
"Korea, Rep.",1.823621,2.008349,2.037527,1.58549,1.640239,1.499123,1.592072,1.637757,1.681149,1.660333
Kuwait,1.674619,1.352098,1.433769,2.175063,0.9562256,1.976638,0.9176651,,1.213149905,1.213149905
Kyrgyzstan,13.88681,10.79377,9.147379,8.625963,9.512867,8.069104,7.618983,7.263677,7.443642,8.471581
Laos,,,,,,,7.692215,,7.117905617,7.117905617
Latvia,14.75755,15.25825,11.9243,11.66165,11.40277,11.49115,10.21066,9.518736,8.401813,8.905146
Lebanon,,,,,,,2.988114,,2.730708599,2.730708599
Lesotho,,,,,,,8.586306,,16.20858765,16.20858765
Liberia,,,,,,,41.55343,,21.49711037,21.49711037
Libya,,,,,,,2.771502,,3.154995918,3.154995918
Lithuania,9.225978,9.023389,8.299627,7.922535,9.278551,9.428175,6.792128,8.655103,7.634339,8.074108
Luxembourg,,,0.889,0.658,1.864,2.269,1.835008,1.058,1.238471627,1.508513403
"Macedonia, FYR",2.321193,2.247283,2.185297,2.546126,2.865572,6.193229,3.218044,3.084815,5.052623272,5.052623272
Madagascar,,,,,,,12.29057,,14.55940342,14.55940342
Malawi,,,,,,,11.44767,,25.08997154,25.08997154
Malaysia,,,,,1.111,1.74,9.732512,1.828,10.23367786,1.595
Maldives,,,,,0,0,11.22516,0,2.291650057,2.291650057
Mali,,,,,,,16.92186,,23.46518135,23.46518135
Malta,1.464,0.445,1.755,2.196,0.752,2.767,1.581336,0,0.794943392,0.448
Marshall Islands,,,,,,,1.789776,,1.743935227,1.743935227
Martinique,,,,,3.156,3.91,2.583,3.736,2.585,4.5
Mauritania,,,,,,,15.47325,,17.61217117,17.61217117
Mauritius,2.675642,1.747284,2.520509,2.914178,2.887276,2.178728,2.418501,2.693497,2.761122,3.662321
Mexico,17.25858,15.75612,15.56178,13.66574,11.75996,10.8476,10.52935,10.40824,9.457928,9.913541
"Micronesia, Fed. Sts.",,,,,,,1.26571,,0.785618365,0.785618365
Moldova,13.66011,13.26033,11.50598,11.21539,11.6989,10.96043,9.836945,8.689896,7.007469,7.531115
Monaco,,,,,,,0.9546278,,0.923907518,0.922028558
Mongolia,,,,,,,3.579561,,3.251965523,2.997322924
Morocco,,,,,,,1.320688,,1.244666934,1.213684381
Mozambique,,,,,,,11.96291,,25.61878204,25.61878204
Myanmar,,,,,,,18.51446,,16.31876755,16.31876755
Namibia,,,,,,,32.62024,,15.81996918,15.81996918
Nauru,,,,,,,10.89266,,12.57899666,12.57899666
Nepal,,,,,,,18.82063,,16.85650063,20.42463565
Netherlands,1.327621,1.311095,1.086001,1.276515,1.130492,1.23159,1.227461,1.209087,1.144522,1.077595
Netherlands Antilles,9.411,8.041,10.711,9.795,8.611,,,,,
New Zealand,1.84682,1.833982,1.536815,1.355613,1.481022,1.413323,1.800873,1.42839,1.238464,1.788827
Nicaragua,,12.206,10.382,8.654,8.712,8.784,13.72253,10.764,17.58759689,19.59689186
Niger,,,,,,,19.04651,,26.87460136,26.87460136
Nigeria,,,,,,,28.7515,,21.39646149,21.39646149
Niue,,,,,,,1.068902,,1.01415503,1.01415503
Norway,0.9835143,0.9251252,0.9411492,0.8502018,1.208367,0.8043834,0.9062888,1.095167,0.8762801,0.6321173
Oman,,,,,,,2.08602,,2.039650917,2.039650917
Pakistan,,,,,,,5.610594,,5.146722317,4.989642973
Palau,,,,,,,0.9599229,,0.844825149,0.844825149
