Matrix,1971,1974,1977,1980,1983,1986,1989,1992,1995,1998
Norway,13850.93236,16071.86461,16217.28318,18316.55117,20062.55793,21630.41956,22346.14828,23190.06302,23808.73439,24693.58511
Iceland,6910.779264,9852.045197,10519.28763,12546.03179,14033.85355,14508.84366,15670.72397,14828.23653,15922.75404,20080.25613
Canada,8753.164288,10452.02901,11361.32591,12331.18686,12792.80995,14637.49639,15297.44648,14832.65065,15087.62598,14894.22548
Sweden,7461.771746,8528.523202,9435.086346,10217.38249,11483.95875,13614.57575,14054.15042,13771.01042,14033.56224,14204.90259
Finland,4683.717879,5845.752503,6346.282835,7781.02743,8647.94055,10073.42411,11414.78444,11856.43603,12778.28802,14153.167
Qatar,2578.690752,3000.057382,4806.445405,9423.305324,10374.28802,10902.91761,9624.697601,9206.434353,8131.717123,9911.067515
Bahrain,1908.274653,2315.762876,3732.893312,4776.903512,5639.376116,5706.784665,5896.385123,6552.754287,7480.75304,8559.632167
Kuwait,2181.117943,2436.38674,2631.228642,3158.035041,4030.557624,4803.543383,4721.823686,8290.076278,9385.28044,10562.05701
Brunei,1573.979842,1430.72106,1291.974931,1603.787172,2862.453312,2951.899548,3904.068361,4184.150222,5910.148433,7522.256395
Taiwan,898.9789333,1161.349071,1603.248665,2066.560777,2235.584393,2713.678026,3525.407711,4384.283951,5300.672328,6370.107928
