Matrix,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004
Ireland,82.36318769,82.47931485,82.98737117,83.13253012,82.68253738,82.20351285,64.05864422,63.01349978,64.04412832,62.49092757
Comoros,56.42127888,56.42127888,56.42127888,59.10800645,64.48146158,68.24288017,71.46695325,73.6163353,77.91509941,79.52713595
Gambia,52.8,53.8,56.3,55.9,56.9,64.9,61.2,64.0,74.9,79.9
China,39.27257718,41.25253955,43.69794928,46.55301621,51.34335111,56.03950503,57.01297894,57.36597666,58.36067191,58.2196407
Costa Rica,33.60752056,36.95652174,43.18448884,49.27536232,53.81903643,54.30865648,54.05405405,53.76028202,53.66235801,53.85820603
Paraguay,28.23307324,29.24238611,31.39692927,32.80896048,37.67178455,43.00276869,43.65718601,47.87566071,51.15781525,50.33475963
Guatemala,25.56924225,26.12915267,27.3422919,28.46211273,35.3210153,39.98693542,39.98693542,42.10526316,41.66666667,44.79283315
Maldives,16.66666667,20.0,26.66666667,26.66666667,30.0,30.0,30.0,30.0,33.33333333,43.33333333
Grenada,64.70588235,58.82352941,58.82352941,47.05882353,47.05882353,38.23529412,35.29411765,35.29411765,35.29411765,38.23529412
Puerto Rico,63.81059752,58.06087937,55.58060879,53.55129651,52.31116122,52.08568207,46.22322435,34.83652762,27.8692221,24.23900789
