Matrix,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
Syria,11.293865,10.6930683,7.9582037,12.5148296,12.0961589,9.4997216,9.2219988,8.8476833,8.6129094,8.4495998
Jordan,10.3868515,9.4528435,8.7498118,10.6266122,10.1123809,10.1290594,9.7588627,9.578287,10.3509422,7.4451595
Singapore,3.3395083,3.2918413,3.1956273,3.7181148,3.4857517,9.2542362,9.0993869,8.9903223,8.1644573,7.2617136
Lebanon,4.0721276,3.8407267,4.9386398,5.965207,6.2140389,6.6630102,6.0644751,7.0381246,6.5205856,7.038653
Brunei,3.3748001,3.2597223,3.9444698,6.8650426,6.7134529,6.4504109,6.2344373,5.8371565,5.6873667,6.0851088
Bahrain,2.9523833,2.8505541,3.1426582,7.5978967,7.4757681,7.4492832,7.2354637,7.1288768,6.9524309,6.7557056
Cambodia,2.9630479,2.1810356,1.4611853,6.2585806,6.052978,6.8439282,6.5671248,6.3170328,6.0994766,3.3773133
Croatia,5.0524106,3.7951474,3.3267189,7.1300506,5.1850294,4.7848537,4.7856809,4.9754746,5.1297096,3.4860146
Libya,6.7162576,6.4099465,5.7799588,5.489693,4.2752525,4.0833542,3.8964212,3.7270683,4.1770892,4.0293044
Azerbaijan,1.3447935,1.4127071,1.5889262,4.05443,3.4819303,3.2689876,2.5849531,2.4519242,2.4591831,2.4060113
