Matrix,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004
Qatar,75.38,81.82,58.73,56.79,39.18,27.76,50.62,49.68,46.65,44.02
Luxembourg,36.53,38.94,32.82,29.02,23.32,23.04,30.12,20.3,18.77,23.92
Kuwait,35.52,32.82,17.24,18.01,17.32,16.68,14.07,29.51,36.03,36.03
Brunei,3.7,66.86,37.27,37.16,9.0,23.52,21.22,18.31,19.4,16.63
Bahrain,5.31,15.95,24.02,22.69,22.55,25.91,20.0,26.65,31.15,26.63
Bahamas,10.36,36.39,33.45,38.06,8.07,6.21,6.79,6.21,6.19,6.7
New Caledonia,18.5,13.59,17.77,14.36,8.06,9.56,10.08,9.33,11.39,11.94
Singapore,2.69,10.33,13.1,13.02,12.18,12.58,15.53,15.06,12.97,11.7
Faeroe Islands,4.82,6.03,7.97,9.7,11.07,11.21,13.81,14.98,14.49,14.46
Gibraltar,2.53,2.54,2.59,3.01,1.17,2.44,3.25,7.13,12.1,13.44
