Matrix,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998
Austria,12.2341608,31.86419789,31.06962873,31.57162433,24.02296235,28.60962567,30.51662321,44.99371441,35.41128373,48.953626
France,31.87074225,34.17958075,35.95185839,36.05736088,38.77908913,40.18036538,32.67917345,39.25724134,43.15274676,43.90319324
Australia,33.57357451,46.93301435,39.24328338,23.17841313,38.94034828,21.37919148,29.09539201,29.43205797,27.96725172,28.31658291
Belgium,29.92720971,22.12974543,17.64101479,18.52259515,17.71990781,17.12998423,21.77271567,13.62543067,14.68512608,20.3819052
Canada,28.10552234,25.08756567,14.35429143,11.19495239,9.291121817,21.67385592,17.32681313,13.97804248,25.18530927,15.65619841
Netherlands,10.78081028,20.12479079,29.08164975,8.702021408,5.085258851,15.11878606,9.117096019,12.47921016,13.75386197,18.17350798
Italy,6.277700308,9.991809992,9.040318408,6.076384106,15.65511981,12.26399838,16.75491679,11.74944403,10.7513107,17.98184525
Denmark,1.484810316,1.933415071,13.52240655,10.7120251,13.01240301,4.192849273,7.936718958,4.302954839,11.42030583,7.581187749
United States,13.69280768,11.25239325,11.22340547,11.22359345,11.22337118,7.991606346,8.465084532,8.408888557,4.70209112,3.037705136
Norway,14.25237904,7.560932461,8.21938237,7.254565634,3.967354341,4.307469011,4.475591304,10.98735133,14.6180196,9.295916735
