Matrix,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Luxembourg,134.2684595,150.0,146.6221874,140.6472076,136.972552,152.4129636,158.5813454,175.5108178,179.9338663,179.269111
Seychelles,67.66517441,78.15458664,81.57354931,83.971026,95.14363172,97.81362693,81.1399779,88.84612023,108.801283,130.9166573
Swaziland,65.55560575,76.06476912,89.33162466,99.79400008,104.2138291,90.10220111,89.14462565,84.6015193,78.34319811,68.62100478
Guyana,96.50847171,96.07997325,94.99326912,92.77214278,89.81384676,95.79316709,84.6228686,63.37497472,64.15733117,68.29469111
Turkmenistan,56.1393679,95.5016254,81.39138891,69.04930487,62.30927683,61.66256949,30.68413392,35.11069165,100.7844444,80.54220177
Tajikistan,66.07337871,98.76680165,67.99196444,65.46116122,63.37686321,58.31411034,26.02503649,23.34528369,20.65927758,16.66761202
Saudi Arabia,34.83015866,43.65243774,39.87739836,41.17785026,46.11805411,52.66779651,60.87880864,63.23255572,64.90526323,68.91435215
Azerbaijan,27.98357952,39.04135919,40.92304191,42.76810108,42.01087346,48.78747842,62.93643014,66.50623055,68.13094035,69.46645185
Libya,23.86307377,35.63056188,31.85624564,46.21031746,62.38501027,63.25502122,66.43285411,71.30306409,67.5594924,67.3843117
Chad,18.31812077,16.89009643,14.66578755,12.6899406,24.63296691,51.00885806,61.00235479,63.15239917,54.8,54.1
