Matrix,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
Guinea-Bissau,379.3622032,371.6135718,362.845386,504.476661,446.6963446,466.5005603,492.5758369,499.6674903,474.9616631,404.002926
Congo Rep.,479.740547,351.9864612,298.2144318,338.1586253,299.3364642,210.3329385,224.0381916,228.9975182,201.4788306,193.8742593
Guyana,373.0585553,246.7907594,236.012317,228.2728156,221.3836439,206.5622684,205.5509567,205.5897112,207.2411749,201.6583176
Nicaragua,368.5623952,199.1604465,195.5647072,186.633509,191.4226625,180.4865924,163.2032984,166.1537117,173.1674672,117.472285
Mozambique,360.5535329,251.292115,213.6157996,207.5326133,170.2674836,180.3927696,129.2895309,124.954782,86.85815423,89.24540778
Angola,311.8603973,179.2815339,155.1230818,206.1823807,218.3070104,126.2882745,114.3559532,89.26194131,71.09713223,54.13326777
Yemen Rep.,169.944222,124.0311332,61.82934199,94.06445038,89.28864442,58.01305977,59.06725932,58.37979147,55.08818322,44.05442212
Eritrea,6.265565879,6.457375081,11.04241905,19.48898388,36.33826727,47.3042919,57.75325802,73.22357184,103.318876,114.5731013
Argentina,38.85814447,41.65104813,44.13184249,47.94757038,50.84343867,50.9346491,56.94244363,153.2348632,131.779059,112.5975381
Burundi,117.6046068,132.2498288,111.3038478,126.6932791,142.4409974,153.1763331,165.5913904,197.5390257,230.1306281,215.0954766
