Matrix,1961,1963,1965,1967,1969,1971,1973,1975,1977
Greece,2824.27,2793.98,2924.12,3007.77,3041.04,3171.19,3419.93,3341.87,3340.16
Cyprus,2472.72,2371.55,2695.15,2894.87,3287.49,3085.41,2953.4,2533.73,2560.46
Korea Rep.,2141.07,2207.92,2366.88,2507.97,2721.69,2898.24,3057.5,3105.47,3109.13
Libya,1636.51,1724.18,1880.9,2114.08,2261.29,2415.51,2840.41,3073.78,3206.67
Jamaica,1915.48,2029.5,2174.84,2330.52,2344.65,2561.63,2535.7,2645.58,2637.94
Syria,1998.4,2118.76,2144.92,2256.28,2374.44,2452.92,2414.13,2571.07,2741.77
Iran,1768.91,1808.65,1887.99,2046.4,2036.77,2019.87,2299.16,2396.95,2451.39
Seychelles,1746.55,1774.64,1676.33,1678.81,1775.45,2232.27,2226.68,2031.3,2102.76
Chad,2279.74,2374.11,2299.23,2248.6,2169.11,1999.39,1741.5,1695.13,1651.07
Gambia,2385.0,2365.48,2491.29,2422.43,2421.86,2344.44,2103.87,1823.06,1817.58
