Matrix,1966,1970,1974,1978,1982,1986,1990,1994,1998,2002
Lesotho,10.12345679,10.18329939,12.68292683,25.02157032,43.48404663,40.30745307,56.21990218,58.05063652,50.80268038,31.41246747
Congo Rep.,30.25829314,24.21051823,35.06032774,27.3323232,59.73239437,29.45062753,15.90551181,31.24109288,26.68437527,23.40759656
Algeria,17.32413164,36.64906886,40.01653614,52.21935259,37.28323754,33.55592414,28.58941956,30.08014286,27.14848325,31.18741637
Botswana,21.81571816,45.32269761,47.87208464,36.36363636,37.65848524,21.48534526,37.36697697,26.46405879,32.60463929,40.73487878
Greece,40.29017258,50.77738833,67.20700578,10.06227681,29.73615749,35.73287389,21.66938219,20.04223265,20.57595373,22.30781805
Suriname,29.19345412,21.34331378,43.70591427,32.42691771,27.70037699,21.95286195,10.77259851,13.68960757,25.49146667,22.03324655
Venezuela,23.9715706,32.88702886,26.16459587,43.91662654,27.68959527,20.81088001,10.21993532,14.1563418,30.66040253,21.15888805
Swaziland,26.59380692,23.09612984,23.83073497,47.90681972,30.18845531,19.95517818,15.11405094,17.35445827,19.28479464,20.12557044
Togo,16.38417386,15.09973012,16.38250628,52.68816077,21.33332902,18.82961335,26.57097399,15.04350716,16.43731469,18.52571809
Chad,13.15273156,16.09262265,18.47476487,16.23124529,3.161763922,8.132939993,6.75350746,16.63991107,16.93422051,60.15617303
