Matrix,1991,1993,1995,1997,1999,2001,2003,2005,2007,2009
Zimbabwe,13.6,20.6,25.1,26.5,25.7,23.7,21.1,18.4,16.1,14.3
Botswana,5.1,10.1,16.6,22.2,25.3,26.3,26.1,25.5,25.1,24.8
Lesotho,1.7,5.9,14.3,21.6,24.2,24.5,24.1,23.6,23.5,23.6
Swaziland,3.2,6.1,10.6,16.0,20.6,23.6,25.1,25.6,25.8,25.9
South Africa,1.2,2.9,6.1,10.7,14.8,17.1,18.0,18.1,18.0,17.8
Namibia,2.2,4.1,7.1,10.7,14.1,16.1,16.5,15.7,14.3,13.1
Mozambique,1.6,2.7,4.1,5.8,7.7,9.4,10.6,11.2,11.4,11.5
Kenya,5.4,8.4,10.3,10.5,9.6,8.4,7.5,6.8,6.4,6.3
Uganda,10.7,10.2,9.3,8.4,7.6,7.0,6.6,6.4,6.3,6.5
Malawi,8.8,11.9,13.9,14.7,14.5,13.8,13.0,12.1,11.4,11.0
