Matrix,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Venezuela,15.08996,12.73583,12.18425,17.04455,26.05696,26.33243,29.30516,33.79287,27.62771,27.94007
Dom. Rep.,6.925,8.188,9.886,10.944,8.985,10.725,11.19151,13.144,18.60583878,19.49140808
Paraguay,14.80377,12.27576,13.11637,12.40226,14.74066,14.47701,14.07247,14.78462,14.57042,13.22784
Estonia,19.90375,15.76437,18.03358,15.63435,13.07728,13.92882,10.55732,10.21876,6.907458,8.09041
Mexico,17.25858,15.75612,15.56178,13.66574,11.75996,10.8476,10.52935,10.40824,9.457928,9.913541
Latvia,14.75755,15.25825,11.9243,11.66165,11.40277,11.49115,10.21066,9.518736,8.401813,8.905146
Kyrgyzstan,13.88681,10.79377,9.147379,8.625963,9.512867,8.069104,7.618983,7.263677,7.443642,8.471581
Argentina,4.741041,4.957648,4.904284,5.452861,5.967418,7.111205,7.713972,7.412274,5.883619,5.253773
Uzbekistan,6.010993,4.710768,4.259888,3.712894,3.928299,3.776941,3.641898,2.531598,2.840008,3.20092
Macedonia,2.321193,2.247283,2.185297,2.546126,2.865572,6.193229,3.218044,3.084815,5.052623272,5.052623272
