Matrix,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Saudi Arabia,11.00093575,14.31103749,11.38191745,10.59439031,11.48921154,9.812648777,8.737112377,8.352835782,8.046105318,8.294442643
Kuwait,8.092108836,8.802215659,7.590712178,7.147796024,7.700214933,7.402933563,6.539566833,5.805788662,4.344508965,3.559552087
Zimbabwe,3.291296758,2.440748447,3.893785285,5.247956922,4.246122471,10.7726137,3.44648954,4.522436409,2.356540767,3.110773028
Sudan,0.83665955,2.310689609,4.02186929,4.749052018,2.904391484,3.235924131,2.239149295,5.721950418,4.253979041,4.222867241
Georgia,1.253587669,1.136973956,0.924374856,0.615582491,0.740186005,1.000532997,1.068414394,1.374144337,3.338799775,5.221207622
Macedonia,2.237948913,2.206391985,1.80326212,1.946782859,6.584388538,2.804035581,2.501928537,2.519439608,2.183735202,1.97771095
Croatia,7.647231312,5.684792857,4.488750296,3.065949074,2.730790661,2.765857226,2.077913612,1.717672961,1.621217052,1.703866201
Brunei,7.101204955,7.256636894,5.617545071,4.069210172,3.886213877,3.870758679,3.711424379,2.532726835,2.609671266,2.556815181
Ethiopia,2.6170036,5.875679764,9.507042254,7.614632097,4.349743484,3.720141954,3.264234701,3.099435161,2.784749969,2.284240096
Angola,5.993886236,2.642426387,17.33737115,6.392766792,4.524358889,3.837421143,4.800881087,4.134137685,4.456252074,4.362639001
