Matrix,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Guatemala,28.12424,37.70043,34.02543,24.08603,24.62864,25.19448,28.89205,33.41443,32.97674,41.17918
Russia,25.31057,22.62991,21.58119,24.42798,26.14551,27.12315,27.95784,26.08022,24.34952,22.11637
Venezuela,15.08996,12.73583,12.18425,17.04455,26.05696,26.33243,29.30516,33.79287,27.62771,27.94007
Kazakhstan,19.90731,18.93386,18.89562,17.09966,17.21426,15.94061,13.30208,14.94906,15.99455,14.25414
Estonia,19.90375,15.76437,18.03358,15.63435,13.07728,13.92882,10.55732,10.21876,6.907458,8.09041
Mexico,17.25858,15.75612,15.56178,13.66574,11.75996,10.8476,10.52935,10.40824,9.457928,9.913541
Dom. Rep.,6.925,8.188,9.886,10.944,8.985,10.725,11.19151,13.144,18.60583878,19.49140808
Latvia,14.75755,15.25825,11.9243,11.66165,11.40277,11.49115,10.21066,9.518736,8.401813,8.905146
Moldova,13.66011,13.26033,11.50598,11.21539,11.6989,10.96043,9.836945,8.689896,7.007469,7.531115
Israel,1.042703,0.5413063,0.502186,2.1433,3.123014,5.798099,7.764957,5.056236,3.574071,2.958549
