Matrix,1971,1975,1979,1983,1987,1991,1995,1999,2003,2007
Comoros,56.42127888,56.42127888,59.10800645,59.10800645,68.24288017,71.46695325,72.54164428,76.84040838,78.98979044,80.64516129
Gambia,53.3,56.4,56.6,58.3,63.4,64.6,63.5,70.9,77.4,81.3
Djibouti,56.12597066,56.12597066,56.12597066,56.12597066,56.12597066,57.63589301,62.59706644,66.91113028,73.38222606,73.39516825
China,40.75765617,43.05972485,45.71709463,50.48587927,55.08436417,56.97095231,57.32534404,58.41470579,58.09185261,59.26911305
Liechtenstein,56.25,56.25,56.25,56.25,50.0,43.75,43.75,43.75,43.75,37.5
Grenada,64.70588235,58.82352941,55.88235294,47.05882353,38.23529412,35.29411765,35.29411765,35.29411765,38.23529412,38.23529412
Puerto Rico,59.75197294,55.58060879,54.79143179,52.53664036,52.08568207,47.35062007,34.83652762,29.30101466,24.23900789,21.30777903
Paraguay,28.99068714,30.84319154,31.75182482,36.32016109,42.90964007,43.27963755,41.42461616,50.54870375,48.99068714,51.34658948
Guatemala,25.82120194,26.95035461,28.14483016,29.10600971,35.3210153,39.98693542,42.10526316,41.43337066,47.25643897,41.65733483
Maldives,20.0,26.66666667,26.66666667,30.0,30.0,30.0,30.0,30.0,46.66666667,43.33333333
