Matrix,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Latvia,15.555,13.607,13.033,12.406,12.765,11.647,11.069,10.238,8.135,10.011
Lithuania,11.738,11.506,9.423,10.716,11.238,11.65,11.005,12.663,13.661,13.209
Estonia,14.129,10.898,9.115,7.932,10.447,6.943,6.544,7.741,9.554,9.567
New Zealand,10.495,11.073,9.761,9.417,8.655,9.762,9.157,8.433,6.891,7.6
Argentina,11.597,10.907,9.882,8.653,7.383,7.96,8.216,8.383,8.971,8.682
Iceland,9.303,4.026,9.261,8.381,9.333,6.029,5.333,4.566,8.03,3.091
Ireland,7.365,6.724,7.104,6.473,5.594,4.488,3.778,4.469,4.036891446,4.108
France,6.818,5.466,5.992,6.39,6.07,4.426,3.958,3.592,3.091,2.491
Costa Rica,6.495,5.973,5.373,1.975,4.746,4.69,3.479,1.146,0.589,6.3195
Korea Rep.,2.818,2.196,4.158,2.67,2.86,6.348,5.135,4.695,4.615,4.3188
