Matrix,1991,1993,1995,1997,1999,2001,2003,2005,2007,2009
Oman,14.74500091,15.36347738,14.62192156,12.48049921,11.37313281,12.16348346,12.19364964,11.81519818,10.32021844,8.713552535
Saudi Arabia,12.46978293,12.46537231,9.27846839,11.00093575,11.38191745,11.48921154,8.737112377,8.046105318,9.214236794,10.98356142
Israel,15.50257683,11.81127294,8.487278761,8.529474698,8.288854003,8.07419573,8.559741459,7.59153527,7.199603504,6.906326504
Jordan,10.33238766,6.977402161,4.454248523,6.12975689,6.280882488,5.889466493,6.002434167,4.79532279,5.811527659,5.506422236
Syria,9.708759677,6.740220662,6.949691317,5.882755113,5.810580496,5.256441186,6.089654021,5.079165761,4.086024691,4.163392652
Pakistan,6.903250046,6.722823979,6.006949915,5.427762166,5.000376058,4.032425681,4.246922665,4.0401355,3.559895662,3.0256679
Sri Lanka,3.082087849,3.431785654,5.861132243,4.630602074,4.030149263,4.286990589,2.868911827,2.639533395,3.260608357,3.53651801
Cyprus,7.264776162,4.074952576,3.230606415,6.004990188,2.968256625,3.387318133,2.168153846,2.243308546,1.85778791,2.230554477
Ethiopia,3.959043639,2.187792482,1.585374587,2.6170036,9.507042254,4.349743484,3.264234701,2.784749969,1.877448481,1.307324417
Rwanda,5.510231235,4.536391426,4.363953945,4.173383453,4.18669564,3.396812701,2.448116059,1.743264421,1.485677126,1.442779691
