Matrix,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Lesotho,38.15481186,35.59850408,38.85330511,36.48843016,38.95722539,44.70200223,45.93107833,57.49325467,54.36739874,58.92259997
Bulgaria,17.90805853,18.31162136,17.45337513,16.78431565,18.85034983,21.82792446,22.96703095,23.60632443,24.6298723,24.16484551
Uruguay,15.27828517,14.69913704,15.30598158,15.77767622,17.2060059,17.84620462,17.89692196,18.56767641,17.77042998,17.21035708
Maldives,14.09157038,13.79611008,13.6795931,13.31179124,14.31456617,16.57309588,17.95144316,19.94446782,21.50651466,21.01559648
Nicaragua,13.90768319,13.8141616,12.71863266,13.48802607,15.20760832,15.813993,16.79734,17.46069411,17.97001519,17.01528347
Singapore,15.17843752,15.39414414,15.29028475,13.29308001,13.03900679,12.17220079,12.23312835,12.63435876,13.89486151,14.63722569
Peru,12.65428374,12.23222868,12.44139367,12.05189721,12.84044363,13.09095124,13.51693758,15.04868801,15.59543751,15.41751221
Pakistan,13.16532006,10.08899115,10.04260699,10.31131096,10.78383837,10.28454521,9.604414425,9.427412748,9.838225658,9.819775232
India,8.79861273,8.967594755,8.208114958,8.810781235,9.233429935,9.683013845,10.20848162,11.46747509,12.39382648,12.9227155
Bahrain,5.013055024,4.244385729,4.645780223,4.043726117,3.757162347,4.935495325,1.378410955,1.361112509,1.347020459,1.450688491
