Matrix,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
Lesotho,39.42228041,40.70701984,44.31603584,44.67979837,43.77383632,41.83768456,42.36140418,37.06298411,38.15481186,35.59850408
Namibia,32.41499564,30.3422711,29.84411954,27.15943535,28.41413505,27.40590234,30.48176228,29.27989781,31.89760201,27.5296553
Croatia,14.88887176,19.73481732,21.5487456,26.87202303,23.05805961,22.94080142,22.00914038,25.18792358,23.35664736,22.60404022
Bulgaria,22.33382461,16.90338645,15.21378387,21.23896499,20.01022263,17.38597965,17.96651308,18.57446687,17.90805853,18.31162136
Malaysia,20.11278593,20.17228426,19.40496938,20.05730012,19.55661877,19.45509688,19.82966324,16.80994838,14.15747875,13.75588172
Kenya,17.6238629,18.40725046,14.96562051,14.93543728,20.49432528,15.84757514,16.06217213,15.05943408,16.15444222,16.83114396
Nicaragua,18.23936737,19.84950915,18.98088283,11.66917812,12.19993924,12.31892233,13.7391881,14.31969739,13.90768319,13.8141616
Venezuela,18.26549952,13.60484741,13.44993308,14.05830411,12.92333777,13.95644576,17.47080232,12.6968412,13.49214082,13.28660355
Sierra Leone,7.469819896,10.12782347,11.83417984,12.13171869,9.042219938,7.661186153,9.911060728,7.199601269,6.294158723,10.16038813
Iran,6.658887707,7.440989032,4.09507387,4.678151876,6.603632344,8.652779495,10.98955936,9.285579333,9.059293453,6.341889787
