Matrix,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008
Syria,12.5293252,11.293865,7.9582037,12.0961589,9.2219988,8.6129094,8.137859,7.2922777,6.4380091,5.9558471
Jordan,13.3603643,10.3868515,8.7498118,10.1123809,9.7588627,10.3509422,7.2811682,6.847375,6.4410053,5.9096991
Israel,11.2392621,9.5270287,8.9101313,8.2016411,7.7302227,7.1849388,6.4644286,6.384569,6.4026211,5.8731426
Singapore,3.6001671,3.3395083,3.1956273,3.4857517,9.0993869,8.1644573,7.272035,7.5776776,7.1552356,6.3949358
Bahrain,3.6429458,2.9523833,3.1426582,7.4757681,7.2354637,6.9524309,6.5210458,6.2823823,5.4575476,5.2311429
Libya,7.3232404,6.7162576,5.7799588,4.2752525,3.8964212,4.1770892,3.8898496,3.6164422,3.4387729,3.3116742
Laos,2.843745,1.8101042,2.0933023,6.0762878,5.4646234,5.219397,4.9859389,4.750905,4.5244217,4.3015761
Cambodia,2.5842932,2.9630479,1.4611853,6.052978,6.5671248,6.0994766,3.0189023,2.8125269,2.6723322,2.5364458
Vietnam,3.3796005,2.6279129,2.0470192,1.7300945,1.4134033,1.3840759,1.3108059,13.359579,1.1363531,1.0853671
Cuba,6.6927513,3.8387968,3.0170457,2.5278292,1.6674284,1.777749,1.5199156,1.5722005,1.5741281,1.4953835
