Matrix,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Korea Rep.,0.030246073,0.596348971,8.232641253,16.48330764,21.85016589,23.35715122,24.8161702,25.32450663,29.07571485,30.35743355
Iceland,0.0,0.029189189,0.839145907,3.65754386,8.427083333,14.35720025,19.09097408,26.2904802,28.88189557,31.43378931
Canada,0.462842049,1.908246774,4.585459072,9.124281334,11.20783113,14.24737972,16.92764494,21.67615746,24.63781433,27.52099102
Sweden,0.0,0.0,2.807531853,6.599955026,9.412819364,12.22644038,15.68061545,27.94757115,21.25432451,30.38885048
Switzerland,0.0,0.0,0.78527638,1.936427642,6.248991998,10.68099943,16.60983196,21.83938632,26.99115198,31.35218273
Belgium,0.107066549,0.224916879,1.40460398,4.471663264,7.891396497,11.9787818,15.54481577,19.1874335,22.34065589,25.55415643
Japan,0.025314453,0.170548756,0.673646252,3.016146411,7.373711013,11.67976714,15.30760248,18.23632849,20.69481512,22.15072855
Israel,0.0,0.0,0.0,0.681239323,3.526073059,9.463802562,14.39271552,17.74326489,20.14545558,21.28800435
France,0.023055584,0.093820609,0.332792734,1.016177578,2.776910988,5.933654461,10.84083972,15.55862205,20.71795784,25.10556284
Luxembourg,0.0,0.0,0.0,0.275182606,1.285818345,3.399021323,7.967779609,15.07014821,20.90399186,26.77122375
