Matrix,1917,1927,1937,1947,1957,1967,1977,1987,1997,2007
Canada,10.31,9.29,8.25,11.14,10.76,13.54,16.73,15.51,15.94,16.1372549
Australia,4.31,5.16,5.05,6.29,7.68,10.89,13.34,15.76,17.99,18.32320641
Denmark,2.44,4.18,4.91,6.01,5.55,10.14,12.1,12.01,10.89,9.02967033
Netherlands,1.3,5.02,5.12,4.64,5.85,8.48,11.86,10.39,11.59,10.51410072
Finland,0.04,0.85,1.87,1.41,2.83,6.21,10.6,11.73,11.67,12.30263158
Ireland,0.08,2.28,3.51,2.97,3.38,5.66,7.2,8.45,10.15,10.8976
Venezuela,0.03,0.31,1.9,1.77,10.39,6.78,4.72,6.2,5.89,6.973181818
Italy,0.42,1.01,1.05,0.8,1.77,4.45,6.35,6.74,7.51,7.971111111
Taiwan,0.5,1.15,0.95,0.57,0.81,1.61,3.65,4.98,9.29,12.02442368
Greece,0.02,0.38,0.51,0.02,0.84,2.24,5.05,6.37,8.05,9.095481172
