Matrix,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008
Nicaragua,38.06555092,52.18861077,108.6087695,163.7691934,383.9182876,869.0414676,199.1604465,180.4865924,117.472285,55.32734879
Guyana,57.59334023,97.53766681,148.6977837,358.8253695,592.2701229,678.8566266,246.7907594,206.5622684,201.6583176,71.31898658
Guinea-Bissau,0.0,15.40148565,131.092838,183.5313615,366.538721,357.8864751,371.6135718,466.5005603,404.002926,274.0595063
Congo Rep.,39.190362,53.15820304,97.63983048,97.89041802,212.1050712,184.000996,351.9864612,210.3329385,193.8742593,65.55108161
Zambia,52.89666228,78.0328394,90.26917979,153.6333177,201.7415247,233.671797,230.3853338,185.6916402,148.2205487,22.99716423
Cote d'Ivoire,32.42590753,40.58758875,77.09458184,134.5905568,143.4266909,189.1095735,173.9556848,124.9403078,89.40899955,55.96886656
Sudan,18.46470619,35.18871467,68.38541338,87.86808503,77.27958111,249.5461829,195.9596919,141.6404381,91.03819946,37.47710105
Sierra Leone,26.09939872,40.22186179,43.93358596,57.98159684,102.6350532,226.354256,133.2652073,193.1215064,160.5401837,20.31699723
Gambia,12.79385855,13.62426369,57.72569804,129.0919576,119.5870728,117.8773212,117.2475148,120.7212187,183.9908353,61.52212089
Burundi,2.928971604,5.115862424,17.97760935,35.72512754,75.57491619,95.99808341,132.2498288,153.1763331,215.0954766,124.6892108
