Matrix,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Haiti,20.2,19.7,20.9,23.3,26.8,26.8,24.7,23.9,27.7,29.8
Nauru,10.0,15.0,12.4,11.2,14.0,18.2,23.8,32.9,38.1,25.0
Panama,21.0,19.7,18.9,21.3,10.6,10.9,10.4,9.1,12.3,11.5
Malawi,7.3,9.0,10.6,7.3,14.0,17.6,20.3,20.5,16.6,18.0
Rwanda,9.3,13.5,9.1,8.2,9.9,9.1,17.6,16.4,16.9,27.3
Burkina Faso,9.1,10.9,9.7,8.9,9.8,11.2,12.6,15.3,18.4,15.8
Gabon,5.8,7.1,10.9,13.9,13.8,13.8,13.8,13.9,13.9,13.9
Timor-Leste,10.8,6.7,8.7,12.7,9.4,9.0,10.3,12.2,19.1,16.4
Botswana,7.9,8.8,8.4,8.3,8.0,10.6,11.1,15.5,18.2,17.8
Tuvalu,6.9,8.5,7.0,5.9,4.5,6.1,8.2,9.6,10.6,16.1
