Matrix,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008
Lesotho,11.25401929,34.26791277,37.0427413,36.16177823,50.05855881,71.84037045,63.75676322,42.05655994,24.78609633,28.19182383
Singapore,41.39963372,40.85823441,46.41079747,48.64151413,34.34848899,36.4746558,35.37493678,33.2957958,21.76462655,30.89127065
Botswana,50.94413847,33.77125193,40.05214966,29.44353062,23.58451549,30.41930063,24.99128433,34.96873949,40.78037274,32.44433103
Guyana,19.83981417,37.45269008,32.75862069,27.42032366,21.14548156,52.4949309,31.85720689,23.77598247,23.60247223,39.71295312
Greece,51.5070984,65.01229113,10.72733651,44.24513614,24.41409063,20.01227521,19.59980447,23.31652982,22.6521296,20.787073
India,15.97149713,18.91769788,18.54853133,21.35252018,23.63737866,23.77280621,22.12079207,24.16427803,31.62314108,39.67786555
Swaziland,21.36524823,22.19409283,40.65290884,28.70459148,23.54922771,19.71806168,17.03251498,17.35241469,16.20072963,16.5
Zambia,35.61869074,31.54418047,23.28306366,14.68262073,11.07354853,11.89172785,12.84510672,17.43466576,24.35485862,22.22512357
Ghana,7.10378648,8.884190142,5.624007949,6.876999737,11.29599975,12.80000014,21.2,23.9986005,28.37750713,35.94142896
Madagascar,8.819759308,8.134726157,14.9624297,8.61949947,13.29437769,11.20868275,11.63700426,15.0449648,23.37860039,35.63610541
